Month,Year,Road traffic Entry,Road traffic Entry Domestic passengers,Road traffic Entry Foreign passengers,Road traffic Exit,Road traffic Exit Domestic passengers,Road traffic Exit Foreign passengers,Railway traffic Entry,Railway traffic Entry Domestic passengers,Railway traffic Entry Foreign passengers,Railway traffic Exit,Railway traffic Exit Domestic passengers,Railway traffic Exit Foreign passengers,Maritime traffic Entry,Maritime traffic Entry Domestic passengers,Maritime traffic Entry Foreign passengers,Maritime traffic Exit,Maritime traffic Exit Domestic passengers,Maritime traffic Exit Foreign passengers,Inland waterway traffic Entry,Inland waterway traffic Entry Domestic passengers,Inland waterway traffic Entry Foreign passengers,Inland waterway traffic Exit,Inland waterway traffic Exit Domestic passengers,Inland waterway traffic Exit Foreign passengers,Air traffic Entry,Air traffic Entry Domestic passengers,Air traffic Entry Foreign passengers,Air traffic Exit,Air traffic Exit Domestic passengers,Air traffic Exit Foreign passengers
11,2012,3610.0,1438.0,2172.0,3720.0,1508.0,2212.0,35.0,15.0,20.0,37.0,16.0,22.0,63.0,3.0,61.0,62.0,3.0,59.0,1.0,0.5,1.0,1.0,0.5,1.0,73.0,32.0,42.0,86.0,35.0,51.0
12,2012,3669.0,1413.0,2256.0,3551.0,1451.0,2100.0,38.0,17.0,22.0,44.0,24.0,20.0,6.0,1.0,4.0,4.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,31.0,43.0,66.0,31.0,34.0
1,2013,3306.0,1322.0,1984.0,3403.0,1372.0,2031.0,29.0,14.0,15.0,29.0,13.0,16.0,2.0,1.0,1.0,4.0,1.0,3.0,0.5,0.0,0.5,0.5,0.0,0.5,59.0,30.0,29.0,70.0,31.0,39.0
2,2013,2739.0,1153.0,1586.0,2729.0,1174.0,1555.0,21.0,10.0,11.0,21.0,10.0,11.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,0.0,0.5,0.0,0.0,0.0,57.0,25.0,32.0,57.0,27.0,31.0
3,2013,3767.0,1454.0,2314.0,3649.0,1494.0,2155.0,25.0,12.0,13.0,24.0,11.0,13.0,23.0,1.0,22.0,21.0,1.0,19.0,0.5,0.0,0.5,0.5,0.0,0.5,95.0,37.0,58.0,83.0,35.0,48.0
4,2013,4322.0,1564.0,2758.0,4236.0,1600.0,2636.0,29.0,12.0,16.0,28.0,12.0,16.0,90.0,2.0,88.0,89.0,2.0,87.0,3.0,0.5,3.0,3.0,0.5,3.0,160.0,38.0,122.0,148.0,40.0,109.0
5,2013,5204.0,1732.0,3472.0,5122.0,1769.0,3352.0,36.0,14.0,22.0,33.0,14.0,20.0,197.0,2.0,195.0,196.0,2.0,194.0,4.0,0.5,4.0,4.0,0.5,4.0,281.0,35.0,246.0,248.0,35.0,213.0
6,2013,5948.0,1781.0,4166.0,5642.0,1799.0,3843.0,44.0,15.0,29.0,40.0,15.0,25.0,222.0,3.0,219.0,215.0,3.0,213.0,3.0,0.5,3.0,3.0,0.0,3.0,385.0,29.0,356.0,337.0,33.0,304.0
7,2013,8587.0,1875.0,6712.0,8169.0,1900.0,6269.0,59.0,12.0,47.0,52.0,12.0,40.0,240.0,3.0,237.0,230.0,3.0,227.0,4.0,0.0,4.0,4.0,0.0,4.0,494.0,32.0,461.0,456.0,31.0,425.0
8,2013,10603.0,2022.0,8581.0,10584.0,2065.0,8519.0,68.0,14.0,55.0,65.0,14.0,51.0,318.0,4.0,314.0,321.0,4.0,317.0,4.0,0.0,4.0,4.0,0.5,4.0,462.0,34.0,428.0,526.0,30.0,495.0
